symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,512,64,8,8.0,2,2,16.885164,15.382086,42.20763969421387,3.192846,1.4355816
True,512,64,8,8.0,2,3,24.293352,27.61504,80.1551742553711,3.6999035,2.1642659
False,512,64,8,8.0,2,3,28.557371,44.352463,72.08744430541992,3.850454,2.7259996
True,512,64,8,8.0,2,4,40.146477,74.82202,100.89802932739258,4.4562926,3.2064614
False,512,64,8,8.0,2,4,23.597855,20.850887,61.84080696105957,3.6866734,1.8808322
True,512,64,8,8.0,2,5,23.84847,34.511303,70.95454788208008,3.6487298,2.1491392
False,512,64,8,8.0,2,5,33.598907,79.925354,77.96715927124023,3.8573353,3.2085338
True,512,64,8,8.0,2,6,26.32501,30.619923,75.35173606872559,3.8768582,2.2433386
False,512,64,8,8.0,2,6,29.869007,65.493034,84.23182678222656,3.5640225,3.2117655
True,512,64,8,8.0,2,7,24.408195,49.024334,59.10978317260742,3.543236,2.4163263
False,512,64,8,8.0,2,7,34.566647,52.826096,70.42388916015625,4.3947144,2.6835327
True,512,64,8,8.0,2,8,36.489727,117.937355,60.97138023376465,3.9100647,3.5414436
False,512,64,8,8.0,2,8,32.834915,91.26294,74.36423301696777,3.7014027,3.4337978
True,512,64,8,8.0,2,9,27.041348,24.564966,66.17549514770508,3.9961605,1.9960945
False,512,64,8,8.0,2,9,19.71596,21.066086,55.47200012207031,3.3965898,1.729465
True,512,32,16,16.0,2,0,41.231873,161.30913,52.93124008178711,3.886725,4.117302
False,512,32,16,16.0,2,0,40.22279,129.1486,97.91541290283203,3.99073,3.8838482
True,512,32,16,16.0,2,1,36.205288,49.6189,103.14806365966797,4.461715,2.7755535
False,512,32,16,16.0,2,1,37.24069,122.02911,55.960981369018555,3.9232635,3.6034546
True,512,32,16,16.0,2,2,24.512451,40.05321,77.32494735717773,3.5202,2.4495966
False,512,32,16,16.0,2,2,86.27123,147.06638,214.4831771850586,6.6597896,4.6679873
True,512,32,16,16.0,2,3,25.502092,31.745094,73.77202033996582,3.7446308,2.061867
False,512,32,16,16.0,2,3,67.947075,322.97446,63.52173614501953,4.430119,5.738404
True,512,32,16,16.0,2,4,51.299187,167.97891,91.76443099975586,4.567677,4.3214183
False,512,32,16,16.0,2,4,45.279522,122.58999,157.48450469970703,4.4085827,3.9169714
True,512,32,16,16.0,2,5,38.618862,124.01353,85.513671875,4.0096493,3.8026862
False,512,32,16,16.0,2,5,43.70506,152.92755,71.31262969970703,4.1466312,4.180133
True,512,32,16,16.0,2,6,56.099743,78.518105,128.00474548339844,5.665535,3.2233114
False,512,32,16,16.0,2,6,53.31274,218.9233,88.37081527709961,4.155005,4.8861666
True,512,32,16,16.0,2,7,55.59656,77.62056,138.34606170654297,5.574413,3.327258
False,512,32,16,16.0,2,7,71.190735,309.3184,121.55011367797852,4.6057405,5.856654
True,512,32,16,16.0,2,8,65.47887,162.90512,122.2817611694336,5.5439224,4.3326445
False,512,32,16,16.0,2,8,72.29519,312.06964,106.5644645690918,4.7067957,5.820319
True,512,32,16,16.0,2,9,43.395,88.674416,161.5794219970703,4.4889207,3.6123118
False,512,32,16,16.0,2,9,28.317026,51.458183,91.50493621826172,3.7700226,2.7578962
True,512,16,32,32.0,2,0,33.498993,33.479744,93.39609146118164,4.418123,2.310215
False,512,16,32,32.0,2,0,109.59463,561.7884,101.02494812011719,5.129293,7.6948385
True,512,16,32,32.0,2,1,35.335377,46.849106,79.52093505859375,4.391603,2.587912
False,512,16,32,32.0,2,1,138.36461,432.97028,286.4254837036133,7.6031666,6.97216
True,512,16,32,32.0,2,2,25.98172,22.095915,70.37284851074219,4.011863,1.758157
False,512,16,32,32.0,2,2,124.47142,393.68298,260.0389099121094,7.283212,6.495846
True,512,16,32,32.0,2,3,59.27979,237.64784,73.81775283813477,4.5003986,5.0572224
False,512,16,32,32.0,2,3,38.02755,67.50826,107.5849609375,4.5305614,2.892335
True,512,16,32,32.0,2,4,56.155823,97.17916,175.58348083496094,5.2596054,3.8911927
False,512,16,32,32.0,2,4,97.72589,349.3021,206.0229721069336,5.9026937,6.447488
True,512,16,32,32.0,2,5,73.84487,69.017685,236.90110778808594,6.609931,3.5025847
False,512,16,32,32.0,2,5,45.78099,106.92934,134.5675506591797,4.5635805,3.7471542
True,512,16,32,32.0,2,6,79.86691,203.99976,143.21173858642578,6.0642424,4.8136816
False,512,16,32,32.0,2,6,58.600155,209.6828,115.83288192749023,4.609507,4.9281874
True,512,16,32,32.0,2,7,61.13375,291.9171,63.447998046875,4.1896534,5.4626317
False,512,16,32,32.0,2,7,54.59926,142.67616,151.74817657470703,5.0033293,4.184796
